0,24
50,24
100,24
150,24
200,24
250,24
300,24
350,24
400,24
450,24
500,24
550,24
600,24
650,24
0,74
250,74
550,74
600,74
650,74
0,124
250,124
650,124
0,174
250,174
350,174
400,174
450,174
500,174
650,174
0,224
450,224
500,224
650,224
0,274
250,274
350,274
600,274
650,274
0,324
50,324
100,324
150,324
200,324
250,324
350,324
400,324
650,324
0,374
50,374
100,374
650,374
0,424
50,424
100,424
350,424
650,424
0,474
50,474
100,474
150,474
200,474
250,474
300,474
350,474
400,474
450,474
500,474
550,474
600,474
650,474
